"Date","Price","Open","High","Low","Vol.","Change %"
"11/04/2021","402.00","399.19","408.50","395.00","618.74K","1.39%"
"11/03/2021","396.50","369.50","397.50","368.50","1.21M","7.89%"
"11/02/2021","367.50","352.50","374.44","351.05","555.55K","4.54%"
"11/01/2021","351.52","348.74","357.50","345.00","191.63K","1.60%"
"10/29/2021","346.00","349.44","349.44","337.75","564.33K","-0.57%"
"10/28/2021","348.00","345.00","349.25","335.01","424.51K","0.58%"
"10/27/2021","346.00","342.00","347.00","339.50","313.24K","0.44%"
"10/26/2021","344.50","337.50","344.50","328.00","359.40K","2.07%"
"10/25/2021","337.50","344.40","344.40","332.50","398.46K","-0.09%"
"10/22/2021","337.82","346.50","350.00","330.00","628.80K","-0.80%"
"10/21/2021","340.55","340.00","346.85","337.00","321.00K","0.89%"
"10/20/2021","337.55","332.00","340.50","330.00","206.20K","1.52%"
"10/18/2021","332.50","339.50","342.00","327.50","74.20K","-1.25%"
"10/15/2021","336.70","332.50","350.00","328.00","396.80K","1.26%"
"10/14/2021","332.50","306.00","345.00","306.00","687.20K","3.74%"
"10/13/2021","320.50","342.20","345.00","320.00","231.80K","-5.11%"
"10/12/2021","337.76","335.01","345.00","330.50","472.20K","-1.39%"
"10/11/2021","342.51","355.50","357.50","341.50","203.80K","-5.60%"
"10/08/2021","362.80","352.62","375.00","345.13","153.80K","2.92%"
"10/07/2021","352.50","352.00","354.98","351.01","166.00K","0.28%"
"10/06/2021","351.50","354.00","355.45","349.00","461.40K","0.14%"
"10/05/2021","351.00","364.99","364.99","350.05","111.60K","-2.64%"
"10/04/2021","360.50","352.01","365.00","352.01","311.80K","-0.38%"
"10/01/2021","361.88","360.00","367.00","354.00","279.80K","0.80%"
"09/30/2021","359.00","367.00","367.45","352.00","526.00K","0.24%"
"09/29/2021","358.13","375.50","379.89","350.29","1.91M","-3.86%"
"09/28/2021","372.50","364.99","387.50","364.99","509.40K","2.76%"
"09/27/2021","362.51","360.01","386.18","351.77","951.80K","0.14%"
